Description,Part Number,Qty,Unit Price,Total Price,

CONN RCPT LOPRO DL 20POS 1MM SMD,SAM1129-10-ND,3,$6.56,$19.68 
IMU ACCEL/GYRO/TEMP I2C/SPI QFN,1428-1059-1-ND,3,$8.68,$26.04 
"CONN HEADER .100"" DUAL STR 18POS",S2011EC-09-ND,3,$0.56,$1.68 
"CONN HEADER .100"" DUAL R/A 18POS",S2111EC-09-ND,3,$1.02,$3.06 
"CONN HEADER FMALE 14POS .1"" GOLD",S7047-ND,6,$1.18,$7.08 
CAP CER 0.1UF 10V X5R 0402,478-1129-1-ND,25,$0.0064,$0.16 
CAP CER 2.2UF 10V X5R 0402,490-10451-1-ND,10,$0.06,$0.60 
RES SMD 4.7K OHM 5% 1/10W 0603,311-4.7KGRCT-ND,10,$0.01,$0.10 
CONN HOUSING 9POS .100 SINGLE,WM2807-ND,5,$0.53,$2.65 
CONN SOCKET 24-30AWG CRIMP TIN,WM2562CT-ND,50,$0.073,$3.65 
"TEST POINT PC MINI .040""D BLACK",36-5001-ND,25,$0.316,$7.90 
ROUND SPACER M3 NYLON 3MM,952-1526-ND,10,$0.168,$1.68 
CAP CER 2200PF 16V X7R 0402,490-6330-1-ND,10,$0.011,$0.11 
IMU ACCEL/GYRO 3-AXIS I2C 24QFN,1428-1007-1-ND,3,$8.25,$24.75 
